
""
Alberta
Anguilla
Anhui
Aruba
Australian Capital Territory
Beijing
Bermuda
"Bonaire, Sint Eustatius and Saba"
British Columbia
British Virgin Islands
Cayman Islands

Channel Islands
Chongqing
Cook Islands
Curacao
Diamond Princess
Falkland Islands (Malvinas)
Faroe Islands
French Guiana
French Polynesia
Fujian
Gansu

Gibraltar
Grand Princess
Greenland
Guadeloupe
Guangdong
Guangxi
Guernsey
Guizhou
Hainan
Hebei
Heilongjiang
Henan

Hong Kong
Hubei
Hunan
Inner Mongolia
Isle of Man
Jersey
Jiangsu
Jiangxi
Jilin
Liaoning
Macau

Manitoba
Martinique
Mayotte
Montserrat
New Brunswick
New Caledonia
New South Wales
Newfoundland and Labrador
Ningxia
Niue
Northern Territory
Northwest Territories

Nova Scotia
Nunavut
Ontario
Pitcairn Islands
Prince Edward Island
Qinghai
Quebec
Queensland
Repatriated Travellers
Reunion
Saint Barthelemy

"Saint Helena, Ascension and Tristan da Cunha"
Saint Pierre and Miquelon
Saskatchewan
Shaanxi
Shandong
Shanghai
Shanxi
Sichuan
Sint Maarten
South Australia
St Martin
Tasmania

Tianjin
Tibet
Turks and Caicos Islands
Unknown
Victoria
Wallis and Futuna
Western Australia
Xinjiang
Yukon
Yunnan
Zhejiang

